id;name;email;dob;employee_level
1;calculate networks;Lazaro.Jacobson63@hotmail.com;2022-04-05T08:04:13;INTERN
2;system;Betsy36@yahoo.com;2022-04-05T14:04:37;INTERN
3;interfaces override;Arlo58@hotmail.com;2022-04-05T10:17:29;INTERN
4;Underpass;Macy84@hotmail.com;2022-04-05T16:03:36;FRESHER
5;Berkshire indigo;Antonina_Turner@gmail.com;2022-04-05T03:38:37;FRESHER
6;internet Granite Infrastructure;Ignatius33@yahoo.com;2022-04-05T16:17:11;INTERN
7;open-source;Myrtice.OKeefe@gmail.com;2022-04-05T07:55:46;FRESHER
8;Accounts Concrete Account;Monty17@gmail.com;2022-04-04T18:14:08;FRESHER
9;Island Expressway infrastructures;Ashtyn_Lehner@gmail.com;2022-04-04T17:40:40;JUNIOR
10;Bike;Maximillian79@hotmail.com;2022-04-05T01:27:21;SENIOR
