id;name;email;dob;employee_level
1;calculate networks;Lazaro.Jacobson63@hotmail.com;2022-04-05T08:37:54;INTERN
2;system;Betsy36@yahoo.com;2022-04-05T14:38:18;INTERN
3;interfaces override;Arlo58@hotmail.com;2022-04-05T10:51:10;INTERN
4;Underpass;Macy84@hotmail.com;2022-04-05T16:37:17;FRESHER
5;Berkshire indigo;Antonina_Turner@gmail.com;2022-04-05T04:12:18;FRESHER
6;internet Granite Infrastructure;Ignatius33@yahoo.com;2022-04-05T16:50:52;INTERN
7;open-source;Myrtice.OKeefe@gmail.com;2022-04-05T08:29:27;FRESHER
8;Accounts Concrete Account;Monty17@gmail.com;2022-04-04T18:47:49;FRESHER
9;Island Expressway infrastructures;Ashtyn_Lehner@gmail.com;2022-04-04T18:14:21;JUNIOR
10;Bike;Maximillian79@hotmail.com;2022-04-05T02:01:02;SENIOR
